date,ind,rain,ind,maxt,ind,mint,gmin,soil
01-Dec-41,4,0, , , , , , 
02-Dec-41,4,0, , , , , , 
03-Dec-41,0,0, , , , , , 
04-Dec-41,0,4, , , , , , 
05-Dec-41,0,1.1, , , , , , 
06-Dec-41,0,2.3, , , , , , 
07-Dec-41,0,0, , , , , , 
08-Dec-41,0,0, , , , , , 
09-Dec-41,4,0, , , , , , 
10-Dec-41,0,1.7, , , , , , 
11-Dec-41,0,0, , , , , , 
12-Dec-41,0,1.5, , , , , , 
13-Dec-41,4,0, , , , , , 
14-Dec-41,0,2.7, , , , , , 
15-Dec-41,0,1.2, , , , , , 
16-Dec-41,0,0, , , , , , 
17-Dec-41,0,0, , , , , , 
18-Dec-41,0,0, , , , , , 
19-Dec-41,0,0.8, , , , , , 
20-Dec-41,0,0, , , , , , 
21-Dec-41,0,0.3, , , , , , 
22-Dec-41,0,0, , , , , , 
23-Dec-41,4,0, , , , , , 
24-Dec-41,4,0, , , , , , 
25-Dec-41,0,0.3, , , , , , 
26-Dec-41,4,0, , , , , , 
27-Dec-41,0,17.4, , , , , , 
28-Dec-41,4,0, , , , , , 
29-Dec-41,0,0, , , , , , 
30-Dec-41,0,0, , , , , , 
31-Dec-41,4,0, , , , , , 
01-Jan-42,4,0, , , , , , 
02-Jan-42,0,1.4, , , , , , 
03-Jan-42,0,1.7, , , , , , 
04-Jan-42,0,4.7, , , , , , 
05-Jan-42,0,0.3, , , , , , 
06-Jan-42,0,0, , , , , , 
07-Jan-42,4,0, , , , , , 
08-Jan-42,0,0.5, , , , , , 
09-Jan-42,0,0, , , , , , 
10-Jan-42,0,0, , , , , , 
11-Jan-42,0,0.7, , , , , , 
12-Jan-42,0,1.5, , , , , , 
13-Jan-42,0,0, , , , , , 
14-Jan-42,0,0, , , , , , 
15-Jan-42,0,5.2, , , , , , 
16-Jan-42,0,5.2, , , , , , 
17-Jan-42,0,2.3, , , , , , 
18-Jan-42,0,5.2, , , , , , 
19-Jan-42,0,9.3, , , , , , 
20-Jan-42,4,0, , , , , , 
21-Jan-42,0,6.6, , , , , , 
22-Jan-42,0,4.6, , , , , , 
23-Jan-42,0,1.7, , , , , , 
24-Jan-42,0,1.1, , , , , , 
25-Jan-42,0,0.5, , , , , , 
26-Jan-42,0,0, , , , , , 
27-Jan-42,0,7.4, , , , , , 
28-Jan-42,0,2.5, , , , , , 
29-Jan-42,0,1.4, , , , , , 
30-Jan-42,0,3.4, , , , , , 
31-Jan-42,0,5, , , , , , 
01-Feb-42,0,0.8, , , , , , 
02-Feb-42,0,3, , , , , , 
03-Feb-42,4,0, , , , , , 
04-Feb-42,0,0.6, , , , , , 
05-Feb-42,0,0.9, , , , , , 
06-Feb-42,0,0.2, , , , , , 
07-Feb-42,0,0, , , , , , 
08-Feb-42,4,0, , , , , , 
09-Feb-42,0,0, , , , , , 
10-Feb-42,4,0, , , , , , 
11-Feb-42,0,0, , , , , , 
12-Feb-42,0,0, , , , , , 
13-Feb-42,0,0, , , , , , 
14-Feb-42,0,0, , , , , , 
15-Feb-42,4,0, , , , , , 
16-Feb-42,0,0, , , , , , 
17-Feb-42,0,0, , , , , , 
18-Feb-42,0,0, , , , , , 
19-Feb-42,0,0, , , , , , 
20-Feb-42,4,0, , , , , , 
21-Feb-42,0,0.4, , , , , , 
22-Feb-42,0,3.6, , , , , , 
23-Feb-42,0,0.8, , , , , , 
24-Feb-42,0,0, , , , , , 
25-Feb-42,0,0, , , , , , 
26-Feb-42,0,0, , , , , , 
27-Feb-42,0,9, , , , , , 
28-Feb-42,0,2.8, , , , , , 
01-Mar-42,0,0, , , , , , 
02-Mar-42,0,0.1, , , , , , 
03-Mar-42,0,4.7, , , , , , 
04-Mar-42,0,13.1, , , , , , 
05-Mar-42,0,4.2, , , , , , 
06-Mar-42,0,5.9, , , , , , 
07-Mar-42,0,7.5, , , , , , 
08-Mar-42,0,9, , , , , , 
09-Mar-42,0,1, , , , , , 
10-Mar-42,0,0.2, , , , , , 
11-Mar-42,0,1, , , , , , 
12-Mar-42,0,0.3, , , , , , 
13-Mar-42,0,5.4, , , , , , 
14-Mar-42,0,0.4, , , , , , 
15-Mar-42,0,0.8, , , , , , 
16-Mar-42,0,0.5, , , , , , 
17-Mar-42,4,0, , , , , , 
18-Mar-42,0,0.2, , , , , , 
19-Mar-42,0,1.2, , , , , , 
20-Mar-42,0,0, , , , , , 
21-Mar-42,0,0, , , , , , 
22-Mar-42,0,0, , , , , , 
23-Mar-42,0,0, , , , , , 
24-Mar-42,0,0, , , , , , 
25-Mar-42,0,0, , , , , , 
26-Mar-42,0,0, , , , , , 
